id,gender,location_district,location_upazila,location_village,caller_need,note,status,resolve_organization,feedback_status,resolve_comment,resolve_at,created_at
87,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Dakkhin Magura,Food,Food Needed,Resolved,UP Member,Resolved,Rescue Team from UP Member,08/25/2024,08/23/2024
88,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Dakkhin Maguri,Food,Food Needed,Resolved,Got No help,got_no_help,requesting for help,08/25/2024,08/23/2024
89,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Dakkhin Maguri( Aysha Madrasha),Food,Food Needed,Resolved,UP Member,Resolved,Rescue Team from UP Member,08/25/2024,08/23/2024
90,Unknown,MOULVIBAZAR,BARALEKHA,Babanerchak,Food,Food Needed,Resolved,Got No help,got_no_help,requesting for help,08/25/2024,08/23/2024
91,Unknown,NOAKHALI,KABIRHAT,Madhya Goshbag,Food,Food Needed,Pending,Unknown,Unknown,,08/24/24,08/23/2024
92,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Char Matua,Food,Food Needed,Resolved,Not Applicable,did_not_answer,Call not received,08/25/2024,08/23/2024
93,Unknown,NOAKHALI,BEGUMGANJ,Aladinagar,Food,Food Needed,Resolved,Got No help,got_no_help,requesting for help,08/25/2024,08/23/2024
94,Unknown,FENI,SONAGAZI,Char Elahi,Food,Food Needed,Resolved,Not Applicable,switch_off,Switch Off,08/25/2024,08/23/2024
95,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Kutubpur,Food,Food Needed,Pending,Unknown,Unknown,,08/24/24,08/23/2024
96,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Kutubpur,Food,Food Needed,Resolved,Got No help,got_no_help,requesting for help,08/25/2024,08/23/2024
97,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Kali Britti,Food,Food Needed,Resolved,Got No help,got_no_help,requesting for help,08/25/2024,08/23/2024
98,Unknown,NOAKHALI,NOAKHALI SADAR,Noakhali,Food,Food Needed,Resolved,Got No help,Resolved,requesting for help,08/25/2024,08/23/2024
99,Unknown,PATUAKHALI,GALACHIPA,Purba Dakua,Food,Food Needed,Resolved,Got No help,got_no_help,requesting for help,08/25/2024,08/23/2024
100,Unknown,NOAKHALI,NOAKHALI SADAR,Lalanagar,Food,Food Needed,Resolved,Got No help,got_no_help,requesting for help,08/25/2024,08/23/2024
101,Unknown,MOULVIBAZAR,SREEMANGAL,Sungair,Food,Food Needed,Resolved,Not Applicable,switch_off,Switch Off,08/25/2024,08/23/2024
102,Unknown,CUMILLA,MURADNAGAR,Muradnahar,Food,Food Needed,Resolved,Not Applicable,switch_off,Switch Off,08/25/2024,08/23/2024
103,Unknown,NOAKHALI,SUBARNACHAR,Uttar Kanchapia,Food,Food Needed,Resolved,Got No help,Resolved,requesting for help,08/25/2024,08/23/2024
104,Unknown,NOAKHALI,NOAKHALI SADAR,Dakkhin Kadir Hanif,Food,Food Needed,Resolved,Not Applicable,did_not_answer,Call not received,08/25/2024,08/23/2024
105,Unknown,NOAKHALI,NOAKHALI SADAR,NamNoakhali Moujah,Food,Food Needed,Resolved,Not Applicable,got_no_help,requesting for help,08/25/2024,08/23/2024
106,Unknown,NOAKHALI,NOAKHALI SADAR,Char Purba Shullukia,Food,Food Needed,Resolved,UP Member,Resolved,rescue them from UP member,08/26/2024,08/23/2024
107,Unknown,BRAHMANBARIA,NABINAGAR,Vholachang Rishipara,Food,Food Needed,Resolved,requesting for help,got_no_help,requesting for help,08/26/2024,08/23/2024
108,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Purba Dharmapur,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
109,Unknown,CHATTOGRAM,BAKALIA,Kalamia Bajar,Food,Food Needed,Resolved,Not Applicable,other,Number Busy,08/26/2024,08/23/2024
110,Unknown,CUMILLA,MURADNAGAR,Muradnagar,Food,Food Needed,Resolved,Not Applicable,did_not_answer,Don't answer,08/26/2024,08/23/2024
111,Unknown,COXS BAZAR,RAMU,Kauar Khop,Rescue,,Resolved,Not Applicable,got_no_help,requesting for help,08/26/2024,08/23/2024
112,Unknown,CHANDPUR,FARIDGANJ,Paschim Gabdergaon,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
113,Unknown,BRAHMANBARIA,NABINAGAR,Bholachang,Food,Food Needed,Resolved,Not Applicable,switch_off,Don't answer,08/26/2024,08/23/2024
114,Unknown,NOAKHALI,SUBARNACHAR,Moradhona,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
115,Unknown,CHANDPUR,FARIDGANJ,Paschim Gabdergaon,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
116,Unknown,BRAHMANBARIA,NABINAGAR,Bholachang,Food,Food Needed,Resolved,Not Applicable,switch_off,Don't answer,08/26/2024,08/23/2024
117,Unknown,NOAKHALI,SUBARNACHAR,Moradhona,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
118,Unknown,NOAKHALI,BEGUMGANJ,Kamdebpur,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
119,Unknown,NOAKHALI,BEGUMGANJ,Kamdebpur,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
120,Unknown,CUMILLA,DEBIDWAR,Jafarganj,Food,Food Needed,Resolved,Not Applicable,switch_off,Don't answer,08/26/2024,08/23/2024
121,Unknown,NOAKHALI,NOAKHALI SADAR,Kadir Hanif,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
122,Unknown,FENI,FENI SADAR,Uttar Chhanua (Chhanua High School),Food,Food Needed,Resolved,Not Applicable,switch_off,Switch Off,08/26/2024,08/23/2024
123,Unknown,NOAKHALI,BEGUMGANJ,Krishnarampur,Food,Food Needed,Resolved,Not Applicable,switch_off,Switch Off,08/26/2024,08/23/2024
124,Unknown,NOAKHALI,NOAKHALI SADAR,Paschim Maijdee Shantinagar,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
125,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Kalirchar,Food,Food Needed,Resolved,Volunteer,Resolved,rescue them from Volunteer,08/26/2024,08/23/2024
126,Unknown,NOAKHALI,BEGUMGANJ,Karimpur (Near Choumohoni Police Fari ),Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
127,Unknown,CUMILLA,MURADNAGAR,Bishnapur,Rescue,,Resolved,Not Applicable,did_not_answer,Don't answer,08/26/2024,08/23/2024
128,Unknown,FENI,CHHAGALNAIYA,Durgapur Sighanagar,Rescue,,Resolved,Not Applicable,switch_off,Switch Off,08/26/2024,08/23/2024
129,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Sharifpur,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
130,Unknown,NOAKHALI,KABIRHAT,Gangapur,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
131,Unknown,NOAKHALI,SUBARNACHAR,Char Jubille,Food,Food Needed,Resolved,Got No Help,did_not_answer,requesting for help,08/26/2024,08/23/2024
132,Unknown,NOAKHALI,SUBARNACHAR,Uttar Kanchapia,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
133,Unknown,FENI,FENI SADAR,Bijoy Singh,Food,Food Needed,Resolved,Army,Resolved,Rescue team from Army,09/01/2024,08/23/2024
134,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Kalirchar,Food,Food Needed,Resolved,Volunteer,Resolved,rescue them from Volunteer,08/26/2024,08/23/2024
135,Unknown,NOAKHALI,SUBARNACHAR,Uttar Kanchapia,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
136,Unknown,NOAKHALI,SUBARNACHAR,Char Jabbar,Food,Food Needed,Resolved,Not Applicable,did_not_answer,Don't answer,08/26/2024,08/23/2024
137,Unknown,FENI,FENI SADAR,Shibpur,Food,Food Needed,Resolved,Not Applicable,switch_off,Switch Off,08/26/2024,08/23/2024
138,Unknown,FENI,FENI SADAR,Shibpur ( Bottali bazar),Rescue,,Resolved,Not Applicable,switch_off,Switch Off,08/26/2024,08/23/2024
139,Unknown,BRAHMANBARIA,NABINAGAR,Sahapara,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
140,Unknown,SYLHET,FENCHUGANJ,Maijgaon,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
141,Unknown,NOAKHALI,SUBARNACHAR,Uttar Kanchapia,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
142,Unknown,NOAKHALI,SENBAG,Chhatarpaiya,Food,Food Needed,Resolved,Not Applicable,switch_off,Switch Off,08/26/2024,08/23/2024
143,Unknown,NOAKHALI,NOAKHALI SADAR,Lalanagar ( near Dilarhat primary School ),Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
144,Unknown,NOAKHALI,SUBARNACHAR,Char Jubille,Food,Food Needed,Resolved,Not Applicable,did_not_answer,Don't answer,08/26/2024,08/23/2024
145,Unknown,NOAKHALI,NOAKHALI SADAR,Char salla,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
146,Unknown,NOAKHALI,NOAKHALI SADAR,Gopai Ramshankar,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
147,Unknown,NOAKHALI,NOAKHALI SADAR,Gopai Ramshankar,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
148,Unknown,MOULVIBAZAR,KULAURA,Kalijuri,Food,Food Needed,Resolved,Not Applicable,switch_off,Switch Off,08/26/2024,08/23/2024
149,Unknown,NOAKHALI,SENBAG,Pashchim Ahmmadpur,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
150,Unknown,NOAKHALI,NOAKHALI SADAR,Lalanagar,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
151,Unknown,NOAKHALI,NOAKHALI SADAR,Baraipur,Food,Food Needed,Resolved,Not applicable,got_no_help,Requesting for help,08/24/2024,08/23/2024
152,Unknown,LAKSHMIPUR,KAMALNAGAR,Char Jagabandhu,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
153,Unknown,BRAHMANBARIA,NABINAGAR,Rishipara,Food,Food Needed,Resolved,Not Applicable,other,can't reach,08/26/2024,08/23/2024
154,Unknown,NOAKHALI,NOAKHALI SADAR,Harinarayanpur,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
155,Unknown,FENI,CHHAGALNAIYA,Pashchim Pathanagar,Rescue,,Resolved,Not Applicable,did_not_answer,Don't answer,08/26/2024,08/23/2024
156,Unknown,FENI,CHHAGALNAIYA,Pashchim Kasipur,Rescue,,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
157,Unknown,BRAHMANBARIA,BRAHMANBARIA SADAR,Pashchim Medda,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
158,Unknown,NOAKHALI,NOAKHALI SADAR,Barahipur,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
159,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Jelegram,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
160,Unknown,FENI,CHHAGALNAIYA,Joypur(Jaipur Sarojnia High School),Food,Food Needed,Resolved,Not Applicable,switch_off,Switch Off,08/26/2024,08/23/2024
161,Unknown,NOAKHALI,NOAKHALI SADAR,Barhaipur,Food,Food Needed,Resolved,Not Applicable,switch_off,Switch Off,08/26/2024,08/23/2024
162,Unknown,MOULVIBAZAR,KULAURA,Purba Jalalabad (Jalalabad uccha Biddhalay),Food,Food Needed,Resolved,Not Applicable,did_not_answer,Don't answer,08/26/2024,08/23/2024
163,Unknown,NOAKHALI,NOAKHALI SADAR,Barahipur,Food,Food Needed,Resolved,Not Applicable,did_not_answer,Don't answer,08/26/2024,08/23/2024
164,Unknown,CUMILLA,LAKSAM,Ghatar,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
165,Unknown,NOAKHALI,NOAKHALI SADAR,Barahipur,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
166,Unknown,NOAKHALI,CHATKHIL,Lamchar,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
167,Unknown,NOAKHALI,NOAKHALI SADAR,Madhya Karimpur (Fariduddin Ductor Bari),Food,Food Needed,Resolved,UNO Office,Resolved,rescue them from UNO,08/26/2024,08/23/2024
168,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Bhabaniganj,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
169,Unknown,MOULVIBAZAR,KULAURA,Maintam,Food,Food Needed,Resolved,Not Applicable,did_not_answer,Don't answer,08/26/2024,08/23/2024
170,Unknown,FENI,DAGANBHUIYAN,Ramnagar,Food,Food Needed,Resolved,Not Applicable,did_not_answer,Don't answer,08/26/2024,08/23/2024
171,Unknown,MOULVIBAZAR,KULAURA,Babhanipur,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
172,Unknown,MOULVIBAZAR,JURI,Purba Belagawon,Food,Food Needed,Resolved,Got No Help,got_no_help,requesting for help,08/26/2024,08/23/2024
